Date,Category,Product,Customer,Region,Sales_Rep,Quantity,Unit_Price,Total_Amount,Returned
2023-11-24,Clothing,T-shirt,Cheyenne Horton,South,Sara Fuller,3,161.34,484.02,0
2023-03-13,Accessories,Watch,Nathan Malone,West,Heather Fields,4,123.75,495.0,0
2023-01-17,Clothing,T-shirt,Shannon Walker,North,Sara Fuller,3,29.0,87.0,0
2023-10-15,Clothing,Sweater,Julie Alexander,West,Sara Fuller,1,124.21,124.21,0
2023-10-29,Footwear,Sneakers,Mike Allen,East,Edward Burgess,2,20.72,41.44,0
2023-05-23,Clothing,Jeans,Joshua Cooke,North,Heather Fields,2,50.34,100.68,0
2023-07-14,Clothing,Jacket,Michael Elliott,East,Dawn Summers,1,127.32,127.32,0
2024-02-18,Clothing,Dress,Joyce Bowen,West,Heather Fields,1,92.07,92.07,0
2023-02-10,Accessories,Belt,Dr. Hannah Patterson,South,Dawn Summers,3,85.97,257.91,0
2023-12-27,Clothing,T-shirt,William Herrera,North,Maria Parker,4,79.61,318.44,0
2024-03-13,Clothing,T-shirt,John Bishop,West,Maria Parker,3,127.49,382.47,0
2023-11-22,Footwear,Boots,Jessica Gross,South,Kevin Oconnor,4,122.56,490.24,0
2023-12-10,Footwear,Sneakers,Christopher Bass,South,Kiara Mcintyre,3,139.26,417.78,0
2023-03-25,Footwear,Loafers,David Alvarez,South,Kiara Mcintyre,2,190.29,380.58,1
2023-12-17,Footwear,Sneakers,Ashley Waller,East,Tanner Mitchell DDS,2,83.23,166.46,0
2023-07-25,Footwear,Sneakers,Evelyn Galvan,East,Dawn Summers,2,140.0,280.0,0
2023-04-19,Accessories,Sunglasses,Elizabeth Perkins,South,Carlos Ryan,3,125.9,377.7,0
2023-05-16,Clothing,Jeans,Carolyn Miller,East,Kiara Mcintyre,3,182.77,548.31,0
2024-01-18,Accessories,Sunglasses,Keith Jennings,East,Edward Burgess,4,153.52,614.08,0
2023-04-23,Clothing,Sweater,Tanya Kim,North,Heather Fields,2,113.87,227.74,0
2024-03-16,Clothing,Jeans,Mike Allen,North,Edward Burgess,3,170.03,510.09,0
2023-07-17,Footwear,Loafers,Jasmin Alvarado,North,Maria Parker,2,180.02,360.04,0
2023-12-15,Accessories,Watch,Joyce Bowen,East,Maria Parker,4,72.04,288.16,0
2023-02-27,Footwear,Loafers,Kelly Donovan,North,Carlos Ryan,4,18.59,74.36,0
2024-01-05,Accessories,Belt,Susan Murray MD,North,Megan Le,4,151.99,607.96,0
2024-03-21,Accessories,Belt,Mrs. Kristen Reyes,South,Dawn Summers,4,77.78,311.12,0
2023-03-20,Footwear,Boots,Wayne Morgan,North,Kiara Mcintyre,4,62.44,249.76,0
2023-11-03,Footwear,Loafers,Ryan Munoz,East,Heather Fields,1,24.16,24.16,1
2024-03-25,Footwear,Boots,Anthony Rodriguez,North,Sara Fuller,4,85.03,340.12,0
2023-02-13,Accessories,Sunglasses,Jeffrey Chavez,South,Kiara Mcintyre,3,164.94,494.82,0
2023-03-07,Accessories,Sunglasses,Tammie Bright,East,Megan Le,3,160.13,480.39,0
2023-09-28,Accessories,Sunglasses,Evelyn Galvan,South,Kiara Mcintyre,2,78.11,156.22,0
2024-01-01,Footwear,Loafers,Karen Graham,West,Carlos Ryan,3,171.51,514.53,0
2023-03-03,Clothing,Jeans,Tricia Valencia,North,Kevin Oconnor,1,22.08,22.08,0
2023-10-29,Accessories,Bag,Julia Torres,North,Tanner Mitchell DDS,4,136.53,546.12,0
2023-12-29,Accessories,Watch,Ashley Waller,North,Heather Fields,2,178.57,357.14,0
2024-03-16,Footwear,Sneakers,Diane Evans,East,Sara Fuller,1,194.63,194.63,0
2023-12-09,Footwear,Boots,Wayne Morgan,West,Megan Le,1,116.64,116.64,0
2023-05-05,Footwear,Loafers,Deborah Figueroa,North,Heather Fields,3,17.68,53.04,0
2023-12-04,Footwear,Sandals,Rodney Morales,West,Edward Burgess,2,14.83,29.66,0
2024-03-18,Accessories,Watch,Jessica Holmes,West,Tanner Mitchell DDS,3,180.2,540.6,0
2024-01-08,Footwear,Sneakers,Jason Powell,South,Sara Fuller,1,106.63,106.63,1
2023-10-02,Footwear,Boots,Rodney Morales,East,Megan Le,3,124.84,374.52,0
2023-08-25,Clothing,T-shirt,Kirk Carter,North,Kiara Mcintyre,1,53.47,53.47,0
2023-01-26,Accessories,Watch,Shane Henderson,South,Sara Fuller,3,142.01,426.03,0
2023-07-28,Footwear,Loafers,Sharon Cochran,North,Edward Burgess,2,163.54,327.08,0
2023-03-26,Footwear,Sneakers,Nathan Freeman,West,Maria Parker,2,96.74,193.48,0
2023-05-27,Footwear,Loafers,Lisa Barnes,East,Sara Fuller,4,179.59,718.36,0
2023-04-22,Clothing,Sweater,Marie Christian,East,Tanner Mitchell DDS,2,33.2,66.4,0
2023-01-30,Clothing,Sweater,Shannon Rivera,South,Kiara Mcintyre,2,30.91,61.82,0
2023-01-30,Accessories,Watch,Anna Henderson,North,Heather Fields,2,10.1,20.2,0
2023-12-12,Clothing,Dress,Gerald Hensley,South,Dawn Summers,3,11.32,33.96,0
2023-10-24,Accessories,Watch,Fred Smith,East,Edward Burgess,1,102.12,102.12,0
2023-05-14,Clothing,Jacket,April Frost,West,Maria Parker,2,74.15,148.3,1
2023-03-09,Accessories,Belt,Michael Lyons,North,Kevin Oconnor,2,51.57,103.14,0
2023-01-05,Footwear,Sneakers,Cassandra Gaines,South,Kiara Mcintyre,4,79.09,316.36,1
2023-09-17,Footwear,Boots,Lawrence Adkins,South,Heather Fields,4,56.91,227.64,0
2023-07-09,Footwear,Boots,Matthew Moore,East,Kiara Mcintyre,3,67.17,201.51,0
2023-11-10,Accessories,Watch,Shelia Wallace,North,Maria Parker,1,60.69,60.69,1
2024-03-25,Clothing,Jacket,John Daniel,South,Heather Fields,4,19.78,79.12,0
2023-05-20,Footwear,Boots,Alex Hernandez,East,Sara Fuller,1,130.53,130.53,0
2023-09-16,Footwear,Sandals,Justin Baker,West,Heather Fields,1,103.0,103.0,1
2024-02-29,Footwear,Sneakers,Noah Rhodes,South,Kevin Oconnor,4,122.61,490.44,0
2023-11-23,Footwear,Boots,Kirk Carter,West,Kiara Mcintyre,4,55.15,220.6,0
2023-10-15,Clothing,T-shirt,Elizabeth Fowler,North,Megan Le,4,99.36,397.44,1
2024-03-03,Footwear,Boots,Courtney Mills,North,Megan Le,2,111.8,223.6,0
2023-06-07,Footwear,Sneakers,Ashley Barton,South,Sara Fuller,1,38.64,38.64,0
